Chromosome ID,Total length [px],Long arm length [%],Short arm length [%],Long arm length [px],Short arm length [px] 
1,71.0,100.0,0.0,71.0,0.0
2,67.0,100.0,0.0,67.0,0.0
3,63.0,100.0,0.0,63.0,0.0
4,62.0,100.0,0.0,62.0,0.0
5,60.0,100.0,0.0,60.0,0.0
6,55.41421356237309,99.99999999999999,0.0,55.414213562373085,0.0
7,52.0,100.0,0.0,52.0,0.0
8,52.0,100.0,0.0,52.0,0.0
9,42.0,100.0,0.0,42.0,0.0
10,41.0,100.0,0.0,41.0,0.0
11,40.0,100.0,0.0,40.0,0.0
12,39.0,100.0,0.0,39.0,0.0
13,39.0,100.0,0.0,39.0,0.0
14,38.0,100.0,0.0,38.0,0.0
15,38.0,100.0,0.0,38.0,0.0
16,38.0,100.0,0.0,38.0,0.0
17,37.0,100.0,0.0,37.0,0.0
18,34.0,100.0,0.0,34.0,0.0
19,28.0,100.0,0.0,28.0,0.0
20,22.0,100.0,0.0,22.0,0.0
